호선,역번호,역명,hour,승차_Weekday,승차_Saturday,승차_Sunday,하차_Weekday,하차_Saturday,하차_Sunday,환승_Weekday,환승_Saturday,환승_Sunday,interval_Weekday,interval_Saturday,interval_Sunday,capacity,상선_Weekday,상선_Saturday,상선_Sunday,하선_Weekday,하선_Saturday,하선_Sunday
6,641,월곡,15-16시간대,562.6332046332046,507.88235294117646,374.45098039215685,576.3873517786561,507.70588235294116,401.5769230769231,0.0,0.0,0.0,8.0,8.0,8.0,1256,22.299999999999997,27.5,22.1,23.85,23.6,17.6
6,641,월곡,16-17시간대,700.8494208494209,520.5882352941177,349.4230769230769,744.1383399209486,593.1224489795918,447.03921568627453,0.0,0.0,0.0,8.0,8.0,8.0,1256,23.1,31.150000000000002,20.3,33.55,28.5,19.1
6,641,월곡,17-18시간대,770.8149606299213,486.7169811320755,322.61538461538464,946.329268292683,670.6666666666666,470.6730769230769,0.0,0.0,0.0,8.0,8.0,8.0,1256,23.6,27.7,17.4,50.15,31.65,23.4
6,641,월곡,18-19시간대,1065.121951219512,376.20754716981133,258.82,1653.7287449392713,620.0588235294117,458.71153846153845,0.0,0.0,0.0,4.0,8.0,8.0,1256,23.25,23.299999999999997,16.1,71.30000000000001,31.0,20.65
6,641,월곡,19-20시간대,488.2008032128514,243.0943396226415,203.33333333333334,1301.9094650205761,491.0980392156863,396.8076923076923,0.0,0.0,0.0,4.0,8.0,8.0,1256,14.2,11.2,10.55,44.05,22.200000000000003,20.2
6,641,월곡,20-21시간대,341.62450592885375,224.84313725490196,177.37254901960785,676.9061224489795,430.37735849056605,356.0576923076923,0.0,0.0,0.0,8.0,8.0,8.0,1256,10.3,8.5,8.5,25.0,24.15,17.9
6,641,월곡,21-22시간대,303.664,185.125,142.42307692307693,629.6351931330472,502.54,405.1730769230769,0.0,0.0,0.0,8.0,8.0,8.0,1256,11.8,10.55,8.8,28.4,27.1,19.1
6,641,월곡,22-23시간대,188.08627450980393,129.23529411764707,96.27450980392157,538.44921875,445.11764705882354,345.3673469387755,0.0,0.0,0.0,8.0,8.0,8.0,1256,9.05,8.55,7.05,28.25,22.4,16.0
6,641,월곡,23-24시간대,87.26848249027238,59.15686274509804,54.450980392156865,350.828125,381.77777777777777,249.89361702127658,0.0,0.0,0.0,8.0,8.0,8.0,1256,5.300000000000001,4.1,4.4,16.5,25.200000000000003,14.5
6,641,월곡,24시이후,26.21985815602837,0.8620689655172413,0.5185185185185185,145.63829787234042,9.206896551724139,5.25,0.0,0.0,0.0,8.0,8.0,8.0,1256,2.4499999999999997,0.0,0.0,7.25,0.0,0.0
6,642,상월곡,06시이전,186.81376518218624,126.78846153846153,69.07692307692308,22.046875,16.096153846153847,11.62,0.0,0.0,0.0,8.0,8.0,8.0,1256,15.2,11.7,6.1,8.4,6.5,3.7
6,642,상월곡,06-07시간대,356.6923076923077,161.45098039215685,92.61538461538461,61.84108527131783,50.716981132075475,40.73076923076923,0.0,0.0,0.0,8.0,8.0,8.0,1256,21.05,11.3,6.65,9.649999999999999,6.949999999999999,5.1
6,642,상월곡,07-08시간대,1058.4372469635628,252.90196078431373,124.86538461538461,133.8421052631579,63.411764705882355,50.48076923076923,0.0,0.0,0.0,4.0,8.0,8.0,1256,49.349999999999994,17.5,9.8,13.15,7.550000000000001,5.4
